Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year
12996,Battle Fantasia,Fighting,T,X360,Aksys Games,Arc System Works,7.0,8.0,,0.09,0.07,0.0,0.01,0.01,2008.0
12997,Sengoku Basara 4: Sumeragi,Action,,PS3,Capcom,Unknown,,,,0.09,,,0.09,,2015.0
12998,Spectral Force 3,Role-Playing,T,X360,Atlus,XPEC Entertainment,5.9,,,0.09,0.08,,,0.01,2008.0
12999,Crysis: Maximum Edition,Shooter,,PC,Electronic Arts,Crytek,,,,0.09,0.0,0.07,,0.02,2009.0
13000,Aikatsu! My No.1 Stage!,Misc,,3DS,Bandai Namco Games,Bandai Namco Games,,,,0.09,,,0.09,,2015.0
13001,Digimon World Re:Digitize Decode,Role-Playing,,3DS,Namco Bandai Games,Tri-Crescendo,,,,0.09,,,0.09,,2013.0
13002,Digimon World 4,Role-Playing,E,GC,Bandai,Bandai,5.2,,,0.09,0.07,0.02,,0.0,2005.0
13003,Brain Voyage,Puzzle,E,DS,Eidos Interactive,Razorback Developments,,,,0.09,0.06,0.02,,0.01,2008.0
13004,Nickelodeon Kart Racers,Racing,E,PS4,GameMill Entertainment,Solutions 2 Go,,,,0.09,0.07,,,0.02,2018.0
13005,Grand Kingdom,Role-Playing,T,PSV,NIS America,Monochrome Corporation,,,,0.09,0.02,0.01,0.05,0.01,2016.0
13006,Ford Racing 3,Racing,E,XB,2K Games,Razorworks Studios,,,,0.09,0.07,0.02,,0.0,2005.0
13007,Rock Band 3,Misc,E10,DS,MTV Games,Harmonix Music Systems,8.5,,,0.09,0.07,0.01,,0.01,2010.0
13008,MLB SlugFest Loaded,Sports,T,XB,Midway Games,Point of View,,,,0.09,0.07,0.02,,0.0,2004.0
13009,Sotsugyou Crossworld,Simulation,,PS,Hearty Robin,Hearty Robin,,,,0.09,,,0.08,0.01,1996.0
13010,Ty the Tasmanian Tiger 3: Night of the Quinkan,Action,E10,GC,Activision,Krome Studios,6.2,,,0.09,0.07,0.02,,0.0,2005.0
13011,The Ant Bully,Platform,E10,Wii,Midway Games,Artificial Mind and Movement,,,,0.09,0.08,0.0,,0.01,2006.0
13012,R: Racing Evolution,Racing,T,XB,Namco,Namco,,,,0.09,0.06,0.02,,0.0,2003.0
13013,Bionicle,Action,E,GBA,THQ,Mobius Entertainment,,,,0.09,0.06,0.02,,0.0,2003.0
13014,Henry Hatsworth in the Puzzling Adventure,Puzzle,E,DS,Electronic Arts,EA Tiburon,9.1,,,0.09,0.08,0.0,,0.01,2009.0
13015,Bleach GC: Tasogare Ni Mamieru Shinigami,Fighting,,GC,Sega,Polygon Magic,,,,0.09,,,0.08,0.0,2005.0
13016,Nights of Azure,Role-Playing,T,PS4,Tecmo Koei,Gust,,,,0.09,,,0.09,,2016.0
13017,Chou Jigen Game Neptune Mk-II,Role-Playing,,PS3,Compile Heart,Compile Heart,,,,0.09,,,0.09,,2011.0
13018,Rugby 15,Sports,E,XOne,Maximum Games,HB Studios,,,,0.09,0.03,0.05,,0.01,2015.0
13019,Jikkyou Powerful Pro Yakyuu 2000 Ketteiban,Sports,,PS,Konami,Diamond Head,,,,0.09,,,0.08,0.01,2000.0
13020,Karaoke Revolution,Misc,E,XB,Konami,Secret Level,,,,0.09,0.06,0.02,,0.0,2004.0
13021,Fire Pro Wrestling Returns,Fighting,T,PS2,Agetec,S-Neo,,,,0.09,0.04,0.03,,0.01,2007.0
13022,Agatha Christie: Evil Under the Sun,Adventure,T,Wii,The Adventure Company,AWE Games,,,,0.09,0.06,0.02,,0.01,2008.0
13023,My Stop Smoking Coach: Allen Carr's EasyWay,Misc,E,DS,Ubisoft,Ubisoft Quebec,,,,0.09,0.07,0.01,,0.01,2008.0
13024,Jimmy Neutron: Boy Genius,Platform,E,GC,THQ,Big Sky Software,,,,0.09,0.07,0.02,,0.0,2002.0
13025,Derby Stallion,Sports,,SAT,ASCII Entertainment,ParityBit,,,,0.09,,,0.09,,1999.0
13026,Puss in Boots,Misc,E10,PS3,THQ,THQ,,,,0.09,0.07,0.01,,0.01,2011.0
13027,Jumper: Griffin's Story,Action,T,Wii,Brash Entertainment,Collision Studios,,,,0.09,0.08,0.0,,0.01,2008.0
13028,NBA 2K18,Sports,E10,PS3,2K Sports,Visual Concepts,7.0,,,0.09,0.06,0.01,0.01,0.01,2017.0
13029,Rollcage Stage II,Racing,E,PS,Midway Games,Attention To Detail,,,,0.09,0.05,0.03,,0.01,2000.0
13030,Mutant Football League: Dynasty Edition,Sports,M,NS,Nighthawk Interactive,Digital Dreams,,,,0.09,0.08,,,0.01,2018.0
13031,Samurai Warriors 2: Xtreme Legends,Action,T,PS2,KOEI,Omega Force,,,,0.09,0.04,0.03,,0.01,2008.0
13032,Karaoke Joysound Wii DX,Misc,,Wii,Hudson Soft,Xing Inc.,,,,0.09,,,0.09,,2009.0
13033,Sloane to MacHale no Nazo no Monogatari 2,Puzzle,,DS,Level 5,Level 5,,,,0.09,,,0.09,,2009.0
13034,Great Party Games,Misc,,Wii,O-Games,TBD,,,,0.09,,0.08,,0.01,2010.0
13035,Tabi no Yubisashi Kaiwachou DS: DS Series 4 America,Misc,,DS,Nintendo,TOSE,,,,0.09,,,0.09,,2006.0
13036,Invasion From Beyond,Shooter,E,PS,GT Interactive,King of the Jungle,,,,0.09,0.05,0.03,,0.01,1998.0
13037,Crash Boom Bang!,Misc,E,DS,Sierra Entertainment,Dimps Corporation,,,,0.09,0.07,0.01,,0.01,2006.0
13038,Forgotten Realms: Demon Stone,Action,T,XB,Atari,Stormfront Studios,,,,0.09,0.06,0.02,,0.0,2004.0
13039,Major League Baseball 2K7,Sports,E,PSP,2K Sports,Visual Concepts,6.3,,,0.09,0.08,,,0.01,2007.0
13040,Lara Croft and the Temple of Osiris,Action,T,PS4,Square Enix,Crystal Dynamics,,,,0.09,,0.07,,0.01,2014.0
13041,LEGO Star Wars II: The Original Trilogy,Action,E,GBA,LucasArts,Amaze Entertainment,6.0,,,0.09,0.06,0.02,,0.0,2006.0
13042,Criminal Girls 2: Party Favors,Role-Playing,M,PSV,NIS America,Nippon Ichi Software,,,,0.09,0.03,0.01,0.03,0.01,2016.0
13043,Tim Burton's The Nightmare Before Christmas: Oogie's Revenge,Adventure,E10,XB,Buena Vista,Capcom,,,,0.09,0.06,0.02,,0.0,2005.0
13044,Mahjong Master,Misc,,N64,Konami,Konami Computer Entertainment Osaka,,,,0.09,,,0.09,,1996.0
13045,Grand Theft Auto: The Trilogy,Adventure,M,XB,Rockstar Games,Rockstar North,,,,0.09,0.06,0.02,,0.0,2005.0
13046,Top Gear Rally,Racing,E,GBA,Nintendo,Tantalus Interactive,,,,0.09,0.06,0.02,,0.0,2003.0
13047,Data East Arcade Classics,Misc,T,Wii,Majesco,G1M2,5.0,,,0.09,0.08,,,0.01,2010.0
13048,LEGO Batman: The Videogame,Adventure,E10,PC,Warner Bros. Interactive,Traveller's Tales,7.4,,,0.09,0.04,0.03,,0.01,2008.0
13049,MXGP 3: The Official Motocross Videogame,Racing,E,XOne,Milestone,Milestone,,,,0.09,0.06,0.02,,0.01,2017.0
13050,L: the proLogue to DEATH NOTE - Rasen no Wana,Adventure,,DS,Konami,Konami,,,,0.09,,,0.09,,2008.0
13051,Famicom Mini: Makaimura,Platform,,GBA,Capcom,Capcom,,,,0.09,,,0.08,0.0,2004.0
13052,ShellShock 2: Blood Trails,Shooter,M,X360,Eidos Interactive,Rebellion Developments,3.2,,,0.09,0.05,0.03,,0.01,2009.0
13053,XIII,Shooter,M,GC,Ubisoft,Ubisoft Paris,,,,0.09,0.07,0.02,,0.0,2003.0
13054,Dragon's Dogma Online,Role-Playing,,PS4,Capcom,Capcom,,,,0.09,,,0.09,,2015.0
13055,Uta no Prince-Sama: All Star After Secret,Action,,PSP,Broccoli,Unknown,,,,0.09,,,0.09,,2015.0
13056,The Incredibles: Rise of the Underminer,Action,E10,XB,THQ,Heavy Iron Studios,6.5,,,0.09,0.06,0.02,,0.0,2005.0
13057,Theme Hospital,Strategy,E,PS,Electronic Arts,Krisalis Software,7.2,,,0.09,0.03,0.02,0.03,0.01,1998.0
13058,Busy Scissors,Simulation,E,Wii,Little Orbit,Little Orbit,,,,0.09,0.08,0.0,,0.01,2010.0
13059,Captain America: Super Soldier,Action,T,3DS,Sega,Sega,5.0,,,0.09,0.05,0.03,,0.01,2011.0
13060,Shining Resonance Refrain,Role-Playing,T,NS,Sega,Media.Vision,,,,0.09,0.05,0.01,0.01,0.01,2018.0
13061,Wizardry: Tale of the Forsaken Land,Role-Playing,T,PS2,Atlus,Racjin,,,,0.09,0.04,0.03,,0.01,2001.0
13062,F.E.A.R. Files,Shooter,M,X360,Sierra Entertainment,TimeGate Studios/Day 1 Studios,6.9,,,0.09,0.07,0.01,,0.01,2007.0
13063,ChuChu Rocket!,Puzzle,E,GBA,Sega,Sonic Team,8.1,,,0.09,0.06,0.02,,0.0,2001.0
13064,Wacky World of Sports,Sports,E10,Wii,Sega,Sega,,,,0.09,0.08,0.0,,0.01,2009.0
13065,FIFA Soccer 12,Sports,E,PS2,EA Sports,EA Canada,,,,0.09,,0.02,,0.06,2011.0
13066,Indianapolis 500 Legends,Racing,E,DS,Destineer,Torus Games,,,,0.09,0.08,,,0.01,2007.0
13067,Codename Tenka,Shooter,M,PS,Sony Computer Entertainment,Psygnosis,7.0,,,0.09,0.05,0.03,,0.01,1997.0
13068,Destroy All Humans! Path of the Furon,Action,T,PS3,Unknown,Sandblast Games,5.0,,,0.09,,0.08,,0.01,2020.0
13069,Cloudy With a Chance of Meatballs,Adventure,E,X360,Ubisoft,Ubisoft Shanghai,6.7,,,0.09,0.07,0.0,,0.01,2009.0
13070,Savage Skies,Shooter,M,PS2,BAM! Entertainment,iRock Interactive,,,,0.09,0.04,0.03,,0.01,2002.0
13071,My Make-Up,Misc,E,DS,O-Games,Oxygen Interactive,,,,0.09,0.08,0.0,,0.01,2009.0
13072,Sega Bass Fishing,Sports,,DC,Sega,Sega-AM1,,,,0.09,,,0.09,0.0,1999.0
13073,Walt Disney's The Jungle Book: Rhythm N'Groove,Misc,E,PS,Ubisoft,Ubisoft,,,,0.09,0.05,0.03,,0.01,2000.0
13074,Major League Baseball 2K9,Sports,E,PSP,2K Sports,Visual Concepts,6.0,,,0.09,0.08,,0.0,0.01,2009.0
13075,Cyberia,Adventure,T,PS,Interplay,"Xatrix Entertainment, Inc.",,,,0.09,0.05,0.03,,0.01,1996.0
13076,Killer7,Action,M,PS2,Capcom,Grasshopper Manufacture,6.5,,,0.09,0.04,0.03,0.0,0.01,2005.0
13077,Million God,Misc,,PS2,Nippon Amuse,Nippon Amuse,,,,0.09,,,0.09,,2002.0
13078,Nikoli's Pencil Puzzle,Puzzle,E,3DS,Konami,Hudson Soft,,,,0.09,0.05,0.03,,0.01,2011.0
13079,50 Cent: Bulletproof,Action,M,PSP,Vivendi Games,High Voltage Software,5.5,,,0.09,0.08,0.0,,0.01,2006.0
13080,Lost Heroes,Role-Playing,,3DS,Namco Bandai Games,Banpresto,,,,0.09,,,0.09,,2012.0
13081,Charlotte's Web,Action,E,DS,Sega,Backbone Entertainment,,,,0.09,0.08,0.0,,0.01,2006.0
13082,1 vs. 100,Misc,E,DS,DSI Games,ECI,,,,0.09,0.08,,,0.01,2008.0
13083,Astro Boy,Action,E,PS2,Sega,Sonic Team,,,,0.09,0.04,0.03,,0.01,2004.0
13084,Monster Jam: Urban Assault,Racing,E,PSP,Activision,Torus Games,,,,0.09,0.08,0.0,,0.01,2008.0
13085,Monster House,Adventure,E,GBA,THQ,Artificial Mind and Movement,,,,0.09,0.06,0.02,,0.0,2006.0
13086,Wing Commander IV: The Price of Freedom,Simulation,T,PS,Origin Systems,"Origin Systems, Inc.",,,,0.09,0.05,0.03,,0.01,1997.0
13087,Thomas & Friends: Hero of the Rails,Misc,E,DS,Majesco,Barnstorm Games,,,,0.09,0.0,0.07,,0.01,2010.0
13088,MetropolisMania,Strategy,T,PS2,Natsume,Indi Software,6.8,,,0.09,0.04,0.03,,0.01,2002.0
13089,Bomberman Land Touch!,Puzzle,E,DS,Atlus,Hudson Soft,,,,0.09,0.04,0.0,0.04,0.0,2006.0
13090,Shin Megami Tensei: Devil Summoner - Raidou Kuzunoha vs the Soulless Army,Role-Playing,M,PS2,Atlus,Atlus Co.,7.4,,,0.09,,,0.09,,2006.0
13091,Bladestorm: Nightmare,Action,T,XOne,Tecmo Koei,Omega Force,,,,0.08,0.06,0.02,,0.01,2015.0
13092,Dungeon Maker II: The Hidden War,Role-Playing,E10,PSP,UFO Interactive,Global A Entertainment,,,,0.08,0.07,,,0.01,2008.0
13093,Risen 3: Titan Lords,Role-Playing,M,PS3,Deep Silver,Piranha Bytes,,,,0.08,0.02,0.05,,0.01,2014.0
13094,NCAA Football 08,Sports,E,XB,EA Sports,EA Tiburon,,,,0.08,0.06,0.02,,0.0,2007.0
13095,Princess Maker 2,Simulation,,SAT,Micro Cabin,Gainax,,,,0.08,,,0.08,0.0,1995.0
13096,Ephemeral Fantasia,Role-Playing,T,PS2,Konami,Konami,5.7,,,0.08,0.04,0.03,,0.01,2001.0
13097,SRS: Street Racing Syndicate,Racing,T,GC,Namco,Eutechnyx,,,,0.08,0.07,0.02,,0.0,2004.0
13098,Winter Sports 2: The Next Challenge,Sports,E,PS2,Conspiracy Entertainment,49Games,,,,0.08,0.04,0.03,,0.01,2008.0
13099,MXGP 3: The Official Motocross Videogame,Racing,E,NS,Milestone S.r.l.,Milestone,,,,0.08,0.06,0.02,,0.01,2017.0
13100,Are You Smarter Than a 5th Grader? Back to School,Misc,E,DS,THQ,THQ,,,,0.08,0.08,,,0.01,2010.0
13101,Aibou DS,Adventure,,DS,Tecmo,Tecmo,,,,0.08,,,0.08,,2009.0
13102,Animal Planet: Emergency Vets,Simulation,E,DS,Activision,SilverBirch Studios,,,,0.08,0.08,0.0,,0.01,2009.0
13103,Tokimeki Memorial: Taisen Pazurudama,Puzzle,,SAT,Konami,Konami,,,,0.08,,,0.08,0.0,1996.0
13104,FIFA 18,Sports,E,PC,EA Sports,EA Vancouver,8.0,,,0.08,,0.08,,0.0,2017.0
13105,Guilty Gear XX Accent Core Plus,Fighting,T,PSP,Aksys Games,Arc System Works,,,,0.08,0.03,0.01,0.04,0.01,2009.0
13106,Beat Sketch!,Misc,,PS3,Sony Computer Entertainment,"Will Co., Ltd. Noisycroak",,,,0.08,,,0.08,,2010.0
13107,Monster Energy Supercross - The Official Videogame,Racing,E,XOne,Milestone S.r.l.,Milestone S.r.l.,,,,0.08,0.08,,,0.01,2018.0
13108,America's Greatest Game Shows: Wheel of Fortune & Jeopardy!,Misc,E,XOne,Ubisoft,Ubisoft,,,,0.08,0.08,,,0.01,2017.0
13109,Jaws: Ultimate Predator,Action,T,Wii,Majesco,Tectonic Studios,,,,0.08,0.08,,,0.01,2011.0
13110,Bleach: Heat the Soul 5,Fighting,,PSP,Sony Computer Entertainment,Eighting,,,,0.08,,,0.08,,2008.0
13111,Nano Assault,Shooter,E10,3DS,Majesco,Shin'en Multimedia,6.0,,,0.08,0.08,,,0.01,2011.0
13112,Koudelka,Role-Playing,M,PS,SNK,Sacnoth,6.5,,,0.08,0.05,0.03,,0.01,1999.0
13113,Exit,Puzzle,E,PSP,Ubisoft,Taito Corporation,7.9,,,0.08,0.07,0.0,,0.01,2006.0
13114,IHRA Drag Racing: Sportsman Edition,Racing,E10,PS2,Bethesda Softworks,Bethesda Softworks,,,,0.08,0.04,0.03,,0.01,2006.0
13115,Virtua Fighter CG Portrait Series Vol.2: Jacky Bryant,Misc,,SAT,Sega,Sega-AM2,,,,0.08,,,0.08,,1995.0
13116,Famicom Mini: Famicom Mukashi Banashi - Shin Oniga Shima Zenkouhen,Adventure,,GBA,Nintendo,Pax Softonica,,,,0.08,,,0.08,0.0,2004.0
13117,Ski-Doo Snowmobile Challenge,Racing,E,Wii,Valcon Games,ColdWood Interactive,,,,0.08,0.08,,,0.01,2009.0
13118,The Sims 3: Barnacle Bay,Simulation,T,PC,Electronic Arts,Maxis,,,,0.08,0.08,,,0.01,2011.0
13119,America's Army: True Soldiers,Shooter,T,X360,Ubisoft,Red Storm Entertainment,4.5,,,0.08,0.08,,,0.01,2007.0
13120,Lost Dimension,Role-Playing,T,PS3,Atlus,Lancarse,,,,0.08,0.06,0.01,0.0,0.01,2015.0
13121,Ghostbusters (2016),Action,E10,PS4,Activision,FireForge Games,,,,0.08,0.07,,,0.02,2016.0
13122,How to Train Your Dragon 2,Action-Adventure,E10,WiiU,Little Orbit,Torus Games,,,,0.08,0.03,0.05,,0.01,2014.0
13123,Pachitte Chonmage Tatsujin 13: Pachinko Hissatsu Shigotojin III,Misc,,PS2,Hackberry,Hack Berry,,,,0.08,,,0.08,,2007.0
13124,Konami Classics Vol. 1,Misc,T,X360,Konami,Konami,,,,0.08,0.08,,,0.01,2009.0
13125,Wreckin Crew,Racing,T,PS,Telstar,Quickdraw Developments Ltd.,,,,0.08,0.05,0.03,,0.01,1998.0
13126,Theme Park,Simulation,E,SAT,Electronic Arts,Bullfrog Production,,,,0.08,,,0.08,,1995.0
13127,Famicom Mini: Mario Bros.,Platform,,GBA,Nintendo,Nintendo EAD,,,,0.08,,,0.08,0.0,2004.0
13128,Rescue Heroes: Billy Blazes,Action,E,GBA,Vivendi Games,WayForward Technologies,,,,0.08,0.06,0.02,,0.0,2003.0
13129,RockMan EXE 4.5 Real Operation,Role-Playing,,GBA,Capcom,Capcom,,,,0.08,,,0.08,0.0,2004.0
13130,Don King Boxing,Sports,T,DS,2K Sports,Venom Games,,,,0.08,0.06,0.02,,0.01,2009.0
13131,Frantix,Puzzle,E,PSP,Sony Online Entertainment,Killer Game,5.4,,,0.08,0.08,0.0,,0.01,2005.0
13132,Princess Isabella: A Witch's Curse,Adventure,E,DS,GSP,Gogii Games,,,,0.08,0.05,0.03,,0.01,2010.0
13133,Agatha Christie's The ABC Murders,Adventure,T,PS4,Unfinished Pixel,Artefacts Studio,,,,0.08,0.05,0.02,,0.02,2016.0
13134,Sega GT Online,Racing,T,XB,Sega,Wow Entertainment,,,,0.08,0.06,0.02,,0.0,2004.0
13135,Derby Tsuku: Derby Uma o Tsukurou!,Sports,,DC,Sega,Sega,,,,0.08,,,0.08,0.0,2000.0
13136,Knights in the Nightmare,Role-Playing,T,DS,Atlus,Sting,7.5,,,0.08,0.06,,0.02,0.0,2009.0
13137,TT Isle of Man: Ride on the Edge,Racing,E,XOne,Big Ben Interactive,Kylotonn,,,,0.08,0.05,0.03,,0.01,2018.0
13138,Marvel Nemesis: Rise of the Imperfects,Fighting,E10,DS,Electronic Arts,Sensory Sweep Studios,,,,0.08,0.08,0.0,,0.01,2005.0
13139,SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,Adventure,E,GBA,Activision,Humagade,,,,0.08,0.06,0.02,,0.0,2005.0
13140,Nights of Azure,Role-Playing,T,PSV,Tecmo Koei,Gust,,,,0.08,,,0.08,,2016.0
13141,Smart Bomb,Puzzle,E10,PSP,Eidos Interactive,Core Design Ltd.,,,,0.08,0.07,,,0.01,2005.0
13142,Deadliest Catch: Sea of Chaos,Sports,E10,PS3,Crave Entertainment,Double Tap,,,,0.08,0.08,,,0.01,2010.0
13143,Prisoner of War,Adventure,T,XB,Codemasters,Wide Games,,,,0.08,0.06,0.02,,0.0,2002.0
13144,Blacksite: Area 51,Shooter,T,PS3,Midway Games,Midway Studios Austin,,,,0.08,0.07,0.01,,0.01,2007.0
13145,Knights Contract,Action,M,PS3,Namco Bandai,Game Republic,5.8,,,0.08,0.04,0.03,,0.01,2011.0
13146,S.C.A.R.S,Racing,E,PS,Ubisoft,Vivid Image,,,,0.08,0.05,0.03,,0.01,1998.0
13147,The King of Fighters '98: Dream Match Never Ends,Fighting,,PS,SNK,SNK Corporation,,,,0.08,0.05,0.03,,0.01,1999.0
13148,Face Racers: Photo Finish,Racing,E,3DS,Majesco,Renegade Kid,,,,0.08,0.08,,,0.01,2011.0
13149,The Penguins of Madagascar: Dr. Blowhole Returns - Again!,Action,E,PS3,THQ,THQ,,,,0.08,0.04,0.04,,0.01,2011.0
13150,Hammerin' Hero,Action,E10,PSP,Atlus,Irem Software Engineering,7.0,,,0.08,0.07,,,0.01,2009.0
13151,ESPN NFL PrimeTime 2002,Sports,E,PS2,Konami,Farsight Technologies,,,,0.08,0.04,0.03,,0.01,2001.0
13152,Murder in Venice,Adventure,E10,DS,City Interactive,City Interactive,,,,0.08,0.05,0.03,,0.01,2011.0
13153,Warriors Orochi 3 Hyper,Misc,,WiiU,Tecmo Koei,Unknown,,,,0.08,0.04,0.03,0.02,0.01,2012.0
13154,Zoids: Legacy,Role-Playing,E,GBA,Atari,Amedio,,,,0.08,0.06,0.02,,0.0,2004.0
13155,X Rebirth,Simulation,T,PC,Egosoft,Egosoft,,,,0.08,,0.08,,0.0,2013.0
13156,Get Fit with Mel B,Sports,E,Wii,Deep Silver,Lightning Fish,,,,0.08,0.03,0.05,,0.01,2011.0
13157,Kidou Senshi Gundam 00,Action,,DS,Namco Bandai,Bandai Namco Games,,,,0.08,,,0.08,,2008.0
13158,Kamen Rider Travelers Record,Role-Playing,,3DS,Bandai Namco Games,7thChord,,,,0.08,,,0.08,,2013.0
13159,Cloudy With a Chance of Meatballs,Adventure,E,PSP,Ubisoft,Ubisoft Shanghai,6.0,,,0.08,0.07,0.0,,0.01,2009.0
13160,Dead Island Definitive Collection,Action,,XOne,Deep Silver,Techland,,,,0.08,0.05,0.03,,0.01,2016.0
13161,Ride 2,Racing,E,XOne,Milestone S.r.l,Milestone S.r.l.,,,,0.08,0.06,0.01,,0.01,2017.0
13162,Shantae: Half-Genie Hero,Platform,T,PS4,Xseed Games,Way Forward Technologies,,,,0.08,0.06,,0.01,0.01,2016.0
13163,Mad Dog McCree: Gunslinger Pack,Shooter,T,Wii,Majesco,Digital Leisure,,,,0.08,0.07,0.0,,0.01,2009.0
13164,Onimusha Tactics,Strategy,T,GBA,Capcom,Capcom,,,,0.08,0.06,0.02,,0.0,2003.0
13165,Bomberman Jetters,Puzzle,E,GC,Majesco,Hudson Soft,7.2,,,0.08,0.06,0.02,,0.0,2004.0
13166,Gray Matter,Adventure,T,PC,Viva Media,Wizarbox Studios,7.3,,,0.08,0.02,0.05,,0.01,2011.0
13167,TOCA Race Driver 3: The Ultimate Racing Simulator,Racing,E,PS2,Codemasters,Codemasters,,,,0.08,0.04,0.03,,0.01,2006.0
13168,Harvey Birdman: Attorney at Law,Adventure,T,Wii,Capcom,High Voltage Software,,,,0.08,0.08,,,0.01,2008.0
13169,Cartoon Network Battle Crashers,Action,E10,NS,GameMill,Magic Pockets,,,,0.08,0.04,0.04,,0.01,2017.0
13170,Samurai Warriors Chronicles 3,Action,,3DS,Tecmo Koei,Omega Force,,,,0.08,,,0.08,,2015.0
13171,Air Conflicts: Secret Wars,Simulation,T,X360,Kalypso,Games Farm,6.0,,,0.08,0.06,0.02,,0.01,2011.0
13172,WSC Real 11: World Snooker Championship,Sports,,PS3,Koch Media,Dark Energy Digital,,,,0.08,,0.07,,0.02,2011.0
13173,Pac-Man Power Pack,Misc,E,PS2,Namco Bandai,Namco Bandai Games America,,,,0.08,0.04,0.03,,0.01,2008.0
13174,The Secret Saturdays: Beasts of the 5th Sun,Action,E10,DS,D3 Publisher,OneNine Studios,,,,0.08,0.08,0.0,,0.01,2009.0
13175,Disney's Donald Duck: Goin' Quackers,Platform,E,PS2,Ubisoft,Disney Interactive Studios,,,,0.08,0.04,0.03,,0.01,2000.0
13176,SingStar: Made In Germany,Misc,,PS3,Sony Computer Entertainment,SCEE London Studio,,,,0.08,,0.07,,0.02,2009.0
13177,Charm Girls Club: My Fashion Show,Simulation,E,DS,Electronic Arts,Electronic Arts Casual Studios,,,,0.08,0.08,,,0.01,2009.0
13178,Elite: Dangerous,Simulation,T,XOne,Frontier Developments,Frontier Developments,,,,0.08,0.07,,,0.01,2017.0
13179,Ultimate Brain Games,Misc,E,GBA,Telegames,Cosmigo,,,,0.08,0.06,0.02,,0.0,2003.0
13180,Martian Panic,Adventure,T,Wii,Zoo Games,Norbert Palacz,,,,0.08,0.08,0.0,,0.01,2010.0
13181,Armorines: Project S.W.A.R.M.,Shooter,T,PS,Acclaim Entertainment,Probe Entertainment,3.2,,,0.08,0.05,0.03,,0.01,2000.0
13182,Gundam Seed: Battle Assault,Fighting,T,GBA,Bandai,Bandai,6.5,,,0.08,0.06,0.02,,0.0,2004.0
13183,Chibi Maruko-Chan: Harikiri 365-Nichi no Maki,Misc,,SNES,Epoch,SAS Sakata,,,,0.08,,,0.08,0.0,1991.0
13184,101-in-1 Sports Megamix,Sports,E10,DS,Atlus,Nordcurrent,,,,0.08,0.08,0.0,,0.01,2010.0
13185,SaGa 3: Jikuu no Hasha - Shadow or Light,Role-Playing,,DS,Square Enix,Square Enix,,,,0.08,,,0.08,,2011.0
13186,We Sing Rock!,Misc,,Wii,Nordic Games,Le Cortex,,,,0.08,,0.07,,0.01,2011.0
13187,Just Dance: Disney Party 2,Music,E,XOne,Ubisoft,Ubisoft San Francisco,,,,0.08,0.06,0.01,,0.01,2015.0
13188,Aliens versus Predator: Extinction,Strategy,T,XB,Electronic Arts,Zono Incorporated,,,,0.08,0.06,0.02,,0.0,2003.0
13189,Famicom Mini: Adventure Island,Action,,GBA,Hudson Soft,Hudson,,,,0.08,,,0.08,0.0,2004.0
13190,RTX Red Rock,Shooter,T,PS2,LucasArts,LucasArts,,,,0.08,0.04,0.03,,0.01,2003.0
13191,FIFA Street 2,Sports,E,XB,EA Sports BIG,EA Canada,,,,0.08,0.06,0.02,,0.0,2006.0
13192,Tokimeki Memorial: Girl's Side,Adventure,,PS2,Konami,Tenky,,,,0.08,,,0.08,,2002.0
13193,Shining Force: Resurrection of the Dark Dragon,Role-Playing,T,GBA,Atlus,Amusement Vision,7.8,,,0.08,0.06,0.02,,0.0,2004.0
13194,Shining Soul II,Role-Playing,E,GBA,Atlus,Grasshopper Manufacture,,,,0.08,0.06,0.02,,0.0,2004.0
13195,Orega Kantoku Da! Gekitou Pennant Race,Sports,,PS2,Enix,Enix Corporation,,,,0.08,,,0.08,,2000.0
13196,Hello Kitty: Roller Rescue,Action,E,GC,Namco,XPEC,,,,0.08,0.06,0.02,,0.0,2005.0
13197,Jikkyou Powerful Pro Yakyuu 12,Sports,,GC,Konami,PawaPuro Production,,,,0.08,,,0.08,0.0,2005.0
13198,Metal Slug Advance,Shooter,T,GBA,SNK,Noise Factory,,9.0,,0.08,0.06,0.02,,0.0,2004.0
13199,Pac-Man World Rally,Racing,E,GC,Namco Bandai,Smart Bomb Interactive,,,,0.08,0.06,0.02,,0.0,2006.0
13200,Blazing Angels: Squadrons of WWII,Simulation,T,XB,Ubisoft,Ubisoft Romania,7.0,,,0.08,0.06,0.02,,0.0,2006.0
13201,Gradius Galaxies,Shooter,E,GBA,Konami,Mobile 21,7.8,,,0.08,0.06,0.02,,0.0,2001.0
13202,Mortal Kombat Kollection,Fighting,M,PS2,Midway Games,Midway,,,,0.08,0.04,0.03,,0.01,2008.0
13203,Blades of Blood: Samurai Shodown III,Fighting,T,PS,Sony Computer Entertainment,Ukiyotei,,,,0.08,0.05,0.03,,0.01,1996.0
13204,Earth Defense Force 4.1: The Shadow of New Despair,Shooter,M,PS4,Xseed Games,Sandlot,,,,0.08,0.05,0.02,,0.01,2015.0
13205,LEGO Soccer Mania,Sports,E,PS2,LEGO Media,Silicon Dreams,,,,0.08,0.04,0.03,,0.01,2002.0
