housing_median_age,total_bedrooms,households,median_income,median_house_value
33,261,219,6.86,250000
28,111,109,7.6923,329800
36,105,109,4.0313,195500
33,200,202,6.8323,255900
30,54,50,4.975,311100
36,93,93,5.3602,330000
41,666,648,5,248900
46,161,154,2.925,142900
40,256,255,3.8913,126300
44,399,331,3.225,135800
41,178,191,3.1458,130600
24,454,386,2.537,107900
44,131,135,2.5568,111100
43,275,272,3.5083,122000
49,277,282,3.3125,118000
40,294,261,1.8235,95200
35,140,133,3.8047,94300
34,281,280,2.2917,92500
37,287,259,2.4962,91800
43,300,295,4.0417,109400
46,181,211,3.4844,129500
52,147,144,4.1458,143400
47,223,166,2.625,98200
44,239,215,2.0227,103100
49,238,236,3.3333,276800
52,263,286,5.338,270900
52,422,377,3.4732,246200
38,522,509,3.5125,224200
52,349,326,3.1375,229100
46,402,375,2.8036,211600
15,1212,1146,4.5824,256100
36,293,276,3.0208,206300
52,283,275,4.0875,221300
42,291,266,4.5268,207400
37,930,924,1.7375,350000
52,698,696,3.1795,218200
50,261,227,3.8672,216700
52,175,153,5.1675,270600
52,380,371,5.1696,261400
52,332,334,4.2614,261300
52,421,423,5.0551,232200
42,274,256,5.6228,375400
52,279,288,7.8864,357300
52,273,275,7.9556,374400
52,240,236,6.174,358800
52,270,253,6.9414,417500
52,373,365,8.8342,430500
52,328,312,7.1754,362900
52,250,244,10.0825,397000
52,328,335,4.9083,346800
52,169,168,5.7912,327100
52,408,369,4.5893,290100
52,329,306,5.4171,292000
52,473,487,4.125,270900
52,366,355,7.266,371100
52,293,272,5.3989,335600
37,335,362,7.8336,371300
41,195,181,6.1593,344000
52,494,462,6.381,342200
52,531,504,6.6828,370900
37,457,450,7.5385,350000
42,460,448,6.7138,368600
52,417,404,6.2425,391800
52,410,377,5.7979,415300
52,648,621,4.2813,284900
52,391,367,3.5417,287500
44,592,550,3.0132,272900
52,491,464,4.1429,259600
52,200,207,4.1912,254500
52,215,218,3.9167,235600
52,424,388,3.8897,218400
48,490,475,3.1065,229200
46,442,425,2.9926,192100
52,395,380,3.556,179300
45,146,137,1.475,187500
52,97,98,1.6971,138800
10,118,100,2.1705,150000
50,127,128,2.75,140600
52,119,106,2.5682,120000
46,376,355,2.9,144800
52,749,684,2.2208,144800
52,188,172,3.2344,245500
52,132,131,3.5156,2.00E+05
49,548,521,1.9805,173700
50,536,516,2.6684,185600
52,198,204,3.875,182600
52,416,406,3.006,227900
46,696,675,2.543,220700
46,446,431,2.8676,212000
52,930,876,2.1907,271400
30,439,425,1.7778,268800
37,682,616,2.52,277800
52,255,249,4.2788,332500
52,604,573,2.944,338900
52,837,769,1.725,287500
41,141,123,5.2289,384600
42,465,422,2.5562,371400
52,460,477,0.949,350000
52,236,250,1.1696,500001
52,371,350,1.4012,175000
52,998,949,1.1859,241700
35,1108,1000,1.7464,216700
49,368,350,2.8846,211300
52,698,694,2.7372,210200
52,195,189,3.8594,196400
52,353,339,3.5625,191700
52,300,292,2.2788,182300
44,755,713,2.537,175000
46,324,321,2.525,165900
52,404,372,1.9946,156900
52,367,346,2.8214,164300
52,460,430,2.6165,150000
50,607,563,1.9483,150500
52,450,445,1.9327,169900
49,668,608,1.9798,147400
52,472,449,2.4167,152700
49,435,414,2.5417,182700
52,417,358,3.3906,179300
52,691,636,2.5652,157700
41,550,568,2.2845,153100
52,305,267,2.6071,250000
52,186,175,3.15,206300
52,372,365,2.6914,218800
52,583,548,1.8447,198200
35,1744,1742,1.6307,253600
52,832,794,2.9044,257400
52,744,679,2.9405,289500
52,604,538,3.3893,241700
48,517,459,3.0417,489600
52,191,202,7.0897,446200
52,318,295,5.0463,456300
52,444,449,1.7652,336800
52,225,214,7.8521,500001
52,474,496,9.3959,500001
52,663,590,5.3794,376900
52,768,755,3.2619,309600
52,920,815,2.7054,182300
47,400,326,2.2431,172700
50,300,255,1.9028,150800
52,426,363,1.5817,153600
52,83,77,2.2841,106300
47,307,319,1.3785,142300
52,145,132,2.9018,119400
44,198,204,1.73,147900
48,484,466,2.2625,132900
35,419,414,2.2106,132500
52,813,765,2.6997,126900
14,2408,2051,4.0018,143800
52,379,361,7.8772,500001
39,310,315,11.8603,500001
42,335,335,13.499,500001
52,366,352,12.2138,500001
52,381,369,8.1872,466100
52,396,383,12.3804,500001
52,246,227,5.8948,457800
52,312,316,8.1194,471600
52,203,179,8.7477,500001
52,517,520,6.155,398600
52,403,398,5.883,340700
52,516,518,5.2128,289900
52,323,321,4.7188,335300
52,177,162,5.2915,333000
52,235,223,2.6411,241000
52,179,160,3.3214,189600
52,386,373,3.6417,206300
52,566,567,3.0161,215700
52,220,215,3.1771,210200
52,320,264,3.4531,208800
52,157,158,4.3098,197900
52,217,208,3.3438,201300
52,239,216,2.9213,190800
52,280,265,2.6806,207900
52,264,265,3.7708,215300
45,263,286,3.9444,212900
13,535,486,5.2601,292700
30,869,855,2.5444,275000
42,368,355,2.6447,2.00E+05
29,NA,1273,2.5762,173400
42,309,300,1.9427,102200
52,363,347,2.9688,220800
27,1073,966,3.75,242800
18,763,663,5.1702,265400
50,306,327,2.5139,219000
52,350,299,2.9732,282100
52,388,434,5.5337,372000
52,377,363,4.1667,225800
52,481,457,2.7115,220800
52,559,518,3.3269,234500
52,458,445,3.2685,254200
52,315,297,4.7778,351800
52,371,340,4.226,275000
52,168,172,3.3571,405400
52,444,413,2.9899,228100
52,479,477,2.875,234000
43,284,266,2.3882,162500
43,1110,1053,2.975,243400
52,542,535,5.1039,273800
52,185,176,4.1458,248500
52,516,472,3.4762,244000
52,471,446,2.6833,240900
52,246,253,5.75,306300
50,289,268,3.9632,240000
45,NA,146,4.9489,247100
27,753,797,4.8711,286600
52,581,522,3.0718,266700
49,525,492,3.6719,229800
52,436,415,4.6094,229300
21,1249,1235,4.5213,228400
25,365,390,4.4562,206200
5,2885,2718,7.611,350700
31,1379,1312,3.2689,231000
52,648,632,3.567,252900
28,1554,1484,3.6875,353900
23,1270,1151,4.7695,291700
20,365,326,3.1972,1.00E+05
12,2045,2007,7.2634,341600
5,467,512,7.0568,412500
36,570,529,4.635,248600
40,302,270,5.3015,254900
36,480,455,4.9801,241500
26,477,484,5.4834,295200
31,531,521,6.187,340400
32,368,367,5.6194,274700
35,350,365,5.4639,238600
35,387,367,5.1498,266400
30,366,350,5.8382,330200
36,824,819,4.65,206800
25,622,595,4.3819,209200
30,625,568,3.7222,195800
31,282,269,5.2855,253500
31,336,329,4.3375,241800
27,1073,1035,5.2131,252500
30,269,263,6.005,263900
38,295,301,5.0519,227000
38,657,652,4.8237,220900
32,447,410,5.2497,259300
39,272,277,4.125,232500
37,310,315,4.6005,231600
33,790,770,3.5187,209400
32,736,694,3,223200
25,758,710,3.4934,209900
33,1107,1051,2.9861,208200
29,618,552,2.5362,203800
36,499,467,3.3021,195700
31,1309,1295,3.0964,190500
43,324,284,2.8512,181000
42,274,244,3.3478,184900
37,202,205,2.3958,190800
15,685,668,3.5295,242200
20,817,800,4.8036,188300
52,557,550,3.851,183500
52,201,192,4.0662,204200
51,403,393,4.6042,251900
49,316,288,2.2,187500
52,416,412,4.1164,198200
52,223,230,3.95,219000
52,129,143,4.9135,275000
45,819,736,2.8355,245400
46,470,435,3.25,177500
49,408,385,2.8301,171600
52,289,292,3.7159,183300
52,206,207,2.5625,175000
45,313,305,3.8047,156700
45,147,135,3.375,157500
38,200,198,3.244,179800
36,533,519,4.0268,205500
35,554,525,3.3906,178900
36,69,58,5.5461,262500
42,659,664,3.371,165000
46,284,289,3.5313,159700
5,398,328,3.663,158300
38,245,239,2.875,144800
43,814,789,4.0202,166300
37,242,253,4.5553,191000
36,132,134,3.4643,175000
10,601,485,3.3431,137500
28,587,573,2.1898,141700
31,372,379,2.9097,210900
47,251,266,3.375,198300
29,1047,962,2.8125,157400
52,320,334,5,264700
38,394,353,3.0673,218400
43,390,368,3.8125,235100
33,268,270,6.9096,341800
26,394,397,7.912,367300
35,383,392,3.8393,243500
35,207,210,4,167900
25,153,171,6.5095,371200
39,132,132,3.5156,218900
45,253,248,2.983,202700
45,451,444,3.524,186200
44,339,346,3.1103,188900
44,298,270,3.5781,180000
18,1526,1352,3.1682,202700
27,866,789,2.6101,181700
18,1007,1044,3.6932,166800
43,557,544,3.4583,183700
19,710,703,3.9032,218000
36,178,183,4.0208,191500
36,244,261,3.5547,194700
17,292,330,4.5859,187200
21,1054,998,2.6321,223100
17,769,643,3.395,271300
36,228,239,3.9702,194100
36,391,379,5.0043,190400
38,317,301,4.4659,189100
38,221,222,3.6625,184600
36,287,276,3.8864,197300
36,252,229,3.4583,192600
36,219,228,3.7813,192200
36,208,225,2.9917,194600
36,303,311,4.4375,193500
24,365,362,4,202600
16,348,352,2.3869,83300
24,391,366,4.7609,212600
5,407,401,5.4858,187800
36,278,283,4.3971,205700
36,273,267,4.0109,192900
35,447,486,4.3864,205200
30,443,383,4.2841,213400
39,308,335,5.1312,183600
37,535,555,2.9958,178400
27,613,607,3.6364,219200
31,716,628,2.7955,183100
44,500,485,2.9507,157100
30,269,279,3.4375,157800
34,278,237,2.875,161700
38,284,289,3.0345,152100
41,787,750,2.679,144900
17,617,538,2.9922,179900
35,508,536,4.1042,179100
19,635,579,2.5833,159900
23,461,443,2.1552,161400
29,306,338,2.3274,170400
19,789,724,2.4206,137500
41,NA,161,3.9063,178400
37,651,618,2.6464,155200
42,310,309,3.4643,160900
10,560,472,2.3973,167300
20,25,31,6.5,340000
32,194,171,6.0574,431000
6,590,573,3.8958,301100
21,236,249,4.7813,241900
5,936,792,3.2829,162500
10,357,352,5.3169,299200
10,1326,1288,6.2579,315500
23,1279,1294,5.1701,216800
36,426,431,3.25,218100
30,1207,1047,3.1796,170300
26,370,137,2.4196,275000
26,682,607,2.6563,184100
29,168,152,0.9637,160000
48,305,308,2.3357,175000
41,353,314,3.5114,197500
43,110,120,3.3125,150000
29,538,540,2.4042,205600
41,463,467,2.8322,170300
43,348,293,2.5156,190900
37,342,324,3.4032,196900
37,503,448,2.535,174000
37,481,465,2.5772,170200
38,413,400,3.0962,180900
34,897,903,2.9564,150500
31,428,389,3.125,167100
35,484,448,2.95,148900
40,253,267,4.38,196400
37,394,375,4.0417,191100
36,389,370,3.8,187500
45,401,399,3.4839,180600
45,445,422,4.0588,182800
44,399,401,4.1974,179300
43,340,328,3.6,179400
35,518,538,4.267,210300
34,533,500,4.2386,192300
35,398,390,5.5797,198100
36,249,243,4.0682,196200
38,347,332,3.1734,181600
37,NA,557,4.7933,186900
37,534,543,4.8125,188300
40,318,317,3.8676,184000
33,681,694,3.9395,184700
42,703,665,3.2434,179900
38,247,224,3.0917,167200
32,811,703,3.0645,165400
33,655,603,2.7019,154000
39,500,478,3.1115,153500
40,313,271,3.4722,135400
39,259,274,2.2222,158300
32,318,340,6.1104,240700
22,816,743,4.2733,180700
27,671,616,3.2465,230600
28,739,624,3.2417,210800
38,409,394,3.875,165300
29,251,242,6.0501,254200
18,419,415,6.8233,332600
23,348,384,6.3501,350000
28,610,587,2.6719,161200
21,1168,1042,3.875,179300
33,372,356,2.5625,154300
31,790,740,3.016,161800
17,1439,1299,2.7694,161900
35,393,374,3.6818,165400
37,436,437,2.1382,166600
37,191,206,3.7303,149700
35,142,149,3.875,162100
33,464,448,3.0489,152600
27,722,634,2.8203,195200
35,192,184,4.3897,190600
35,200,194,4.7143,193800
34,115,112,4.6875,200600
29,643,603,3.2091,150000
36,225,234,4.275,185300
36,316,299,4.1302,172700
35,652,643,3.09,174100
25,494,501,4.5417,194400
28,311,278,4.6635,206700
31,327,319,4.4427,204500
36,76,82,4.5303,175000
26,27,25,2.375,137500
18,2031,1946,3.8171,187200
35,458,467,4.5281,173600
19,167,183,4.3456,163000
18,808,734,3.4861,331600
31,280,301,5.2312,197600
8,849,746,3.6708,197900
40,102,77,3.8875,228100
34,242,249,3.9167,189500
32,284,292,3.9063,184200
29,435,408,3.7895,180900
36,245,248,3.8,172000
36,199,226,5.7309,177900
36,307,271,4.1141,173100
36,212,200,5.2838,172600
30,1253,1113,3.3479,182100
23,440,418,3.142,179500
31,171,185,3.7614,176000
33,127,149,4.25,192600
36,133,160,3.9338,182700
22,1516,1463,2.5158,134900
27,723,693,2.4808,157600
25,860,862,4.7083,190900
37,304,282,4.1652,158200
20,450,430,3.5541,350000
33,286,291,3.8036,158200
33,252,220,3.8259,146100
33,172,159,3.2331,226700
35,352,350,4.7109,198700
32,547,527,4.2468,221200
35,173,176,6.396,208500
35,118,134,3.8125,204200
32,324,302,3.2857,193200
35,236,204,3.8929,209500
36,271,281,3.7262,164900
37,259,241,4.0125,161400
36,216,215,4.1719,187000
35,179,185,4.2857,190400
37,364,346,3.6458,156600
17,518,550,2.6875,157300
35,376,337,3.7292,168100
24,465,453,4.5913,177600
12,1374,1289,3.8625,208900
23,356,364,3.3611,169200
16,346,351,2.8971,163900
34,293,310,4.0326,164700
35,108,107,4.0682,156900
36,274,249,5.3644,168800
35,221,243,4.7019,174100
27,309,313,5.64,206500
26,443,395,3.7931,203900
9,711,703,4.6458,217000
36,345,338,3.694,159600
31,522,437,2.652,159800
32,280,300,3.5,154300
32,295,328,3.2386,149600
33,302,268,5.097,188600
17,638,602,4.3875,238500
22,497,514,4.625,235300
6,474,433,5.0406,261400
17,832,817,5.8704,234400
18,276,310,5.3226,231700
16,365,355,4.235,156300
13,551,528,4.825,222000
15,418,410,5.5218,254400
16,251,267,6.5116,244300
16,240,268,6.0661,247000
16,544,488,6.0074,236500
15,686,653,4.6211,151400
16,338,344,5.225,213700
14,302,273,5.3428,243600
15,1273,1274,3.7462,212500
24,383,389,4.5721,214700
18,333,319,3.6923,213200
16,889,817,4.6786,256000
2,295,149,2.875,237500
15,760,728,3.3617,178100
17,717,721,5.7579,231800
36,94,92,2.9706,147900
10,678,628,3.9022,191700
21,783,789,4.6146,247600
15,597,559,5.7192,283500
20,1031,975,3.6832,216900
31,478,485,6.2073,282500
6,717,688,5.8151,295600
14,2993,2847,5.8322,281800
14,2708,2606,5.6277,269800
12,1064,1057,5.2879,231200
8,1407,1379,6.5615,318300
15,1376,1348,5.6758,253400
7,1818,1797,6.1047,278200
5,311,245,3.5714,3.00E+05
3,2861,2753,6.0824,273500
23,857,829,4.3594,223400
35,312,316,5.5737,214500
31,964,924,4.8962,220200
24,1492,1491,4.6978,240300
6,778,736,4.4259,158000
26,532,495,3.3008,224200
33,274,267,4.5687,177200
24,485,501,3.8179,216100
18,1005,971,5,269700
20,1294,1235,4.3393,231200
4,993,838,4.1387,162500
13,1823,1772,4.8052,254000
31,344,322,4.6349,196200
17,1247,1182,3.168,189400
17,1375,1339,3.1326,220800
16,2098,1903,2.9074,213800
15,748,714,8.3996,442900
21,1540,1520,6.6478,333400
25,192,220,6.629,352400
27,526,538,6.2179,305300
33,342,304,5.761,259600
29,645,585,4.6641,248900
31,382,410,6.7599,356000
14,1207,1108,3.9909,236000
23,475,492,4.2955,218800
28,529,545,4.9615,228000
18,652,586,2.6198,235900
28,496,467,4.7135,203200
35,420,413,4.75,197000
26,387,406,5.4299,236400
28,566,540,4.6,223200
26,703,639,4.1947,222700
26,371,404,5.388,225000
18,715,661,3.9444,240100
28,507,516,5.3283,227900
28,415,453,4.8403,268600
29,744,749,5.1616,275100
34,495,468,4.9167,256300
27,1249,1134,4.1591,332400
32,406,395,5,287600
26,371,357,5.8325,298900
27,303,314,5.7057,287600
25,939,923,5.0423,222200
26,623,613,4.5317,232600
25,511,504,5.4359,258300
23,948,894,5.0824,230900
33,764,763,5.2308,196900
22,1125,1086,4.4107,223500
26,741,734,5.2396,223900
27,973,960,4.7478,243500
7,3864,3701,8.4045,451100
9,577,591,9.7194,500001
10,1588,1466,5.1643,193100
23,676,623,5.3813,264400
26,322,357,6.0878,246900
13,744,760,6.868,337300
22,1373,1404,6.992,284800
26,532,483,4.9118,217300
23,532,515,4.4357,291700
26,369,377,4.9464,223800
25,731,703,5.2882,223100
23,835,823,5.1321,211300
25,922,890,3.9667,218500
17,97,100,3.1696,156300
20,1068,1060,5.0838,248200
35,343,338,4.8214,186000
6,672,639,4.1406,178200
34,478,467,3.7364,190400
31,264,236,3.535,210300
16,856,870,5.0739,208000
18,437,404,3.256,183300
19,712,709,6.0667,245700
21,673,681,5.7072,242200
7,1390,1316,4.9867,181700
4,1576,1506,5.1437,299400
22,716,687,5.347,219500
25,668,671,5.7233,231800
26,637,642,4.4697,221300
26,459,444,4.9107,213800
26,845,805,4.2281,206000
15,1027,970,5.0143,271100
6,1050,1062,7.2494,336500
46,209,208,5.1406,315600
24,424,400,8.3337,500001
13,555,559,7.316,285400
18,1137,1115,6.4994,323000
23,223,219,7.2211,291900
3,582,456,4.4087,225600
23,308,299,5.9345,259600
20,254,260,6.177,262900
18,547,520,5.817,257300
18,423,427,6.3132,259200
12,1207,1136,6.3373,339700
23,270,286,7.333,337200
22,239,245,6.2918,334100
16,624,577,6.5214,311500
25,301,324,6.4524,296900
20,471,474,6.0604,247900
19,288,295,6.5285,300400
15,273,285,7.2639,332400
7,1294,1229,7.4353,389800
29,680,642,3.1127,233000
39,116,102,2.4896,238500
52,134,123,5.0677,233300
3,464,461,2.1187,231300
20,184,172,10.9506,475800
13,833,825,7.0691,393200
10,800,743,5.5,247200
28,294,278,4.9879,229400
4,741,742,6.8132,282500
14,701,663,5.6399,300600
22,664,640,4.1597,293200
27,242,214,5.7519,278500
13,2074,1950,5.6417,352900
43,40,42,10.3203,4.00E+05
47,23,21,4.3472,375000
13,1344,1391,6.6827,313700
4,1510,1241,3.62,139300
16,554,576,7.3588,327500
26,306,279,5.7239,430600
32,74,58,4.2083,125000
17,352,252,6.1023,450000
12,1049,1067,3.9864,200200
11,2220,2125,4.8624,192400
