sqft,sale_price,sale_price_pred
2312,237000,207833.5155
1712,167000,162822.2471
1716,139950,163122.3222
1509,128000,147593.4346
1897,153500,176700.7215
1317,100000,133189.8287
1099,144000,116835.7345
1552,130500,150819.2422
1638,140000,157270.8573
1539,157500,149843.998
1477,174900,145192.8336
1800,141000,169423.8998
1416,153900,140616.688
3091,171000,266273.1456
2288,213000,206033.0647
1324,133500,133714.9602
2358,240000,211284.3794
1855,187000,173549.9327
1507,131500,147443.397
1456,215000,143617.4392
2010,164000,185177.8437
2009,158000,185102.8249
2085,170000,190804.2523
1699,127000,161847.0029
1531,147000,149243.8478
1481,174000,145492.9087
1370,152000,137165.8241
3273,250000,279926.5637
1426,189950,141366.8758
1880,131500,175425.4022
1435,152000,142042.0448
2296,132500,206633.215
1372,250580,137315.8616
1830,148500,171674.4632
1646,248900,157871.0076
2052,129000,188328.6325
2267,169000,204457.6704
2699,236000,236865.7836
894,109500,101456.8845
2187,200500,198456.1679
910,116000,102657.185
1411,133000,140241.5941
1131,66500,119236.3355
2674,303477,234990.3141
1673,132250,159896.5146
3394,350000,289003.8362
2054,148000,188478.6701
1510,136500,147668.4534
2070,157000,189678.9706
2619,187500,230864.2811
1593,178000,153895.0122
1749,118500,165597.942
1324,100000,133714.9602
2947,328900,255470.4412
2240,145000,202432.1633
1393,135500,138891.256
2568,268000,227038.3233
2529,149500,224112.5909
924,122900,103707.4479
1909,172500,177600.9469
1731,154500,164247.6039
2447,165000,217961.0509
1535,118858,149543.9229
2196,140000,199131.3369
1236,106500,127113.3075
2240,142953,202432.1633
4552,611657,375875.5842
1701,135000,161997.0405
1180,110000,122912.2558
2166,153000,196880.7735
1509,180000,147593.4346
1670,240000,159671.4583
1501,125500,146993.2844
1417,128000,140691.7068
1699,255000,161847.0029
2280,250000,205432.9145
1203,131000,124637.6877
1484,174000,145717.9651
2717,154300,238216.1217
1464,143500,144217.5895
1504,88000,147218.3407
2286,145000,205883.0272
1518,173733,148268.6036
1092,75000,116310.6031
530,35311,74150.04832
2288,135000,206033.0647
2175,238000,197555.9425
1942,176500,180076.5666
2535,201000,224562.7036
3284,145900,280751.7703
1344,169990,135215.3358
1782,193000,168073.5617
2311,207500,207758.4967
1893,175000,176400.6464
2374,285000,212484.6799
2530,176000,224187.6097
1788,236500,168523.6744
2236,222000,202132.0882
1482,201000,145567.9275
1263,117500,129138.8146
1905,320000,177300.8717
1520,190000,148418.6412
2494,242000,221486.9336
747,79900,90429.12372
2033,184900,186903.2757
2312,253000,207833.5155
2426,239799,216385.6565
2403,244400,214660.2245
2664,150900,234240.1263
2832,214000,246843.2814
2880,150000,250444.1829
1632,143000,156820.7446
1455,137500,143542.4204
2837,124900,247218.3753
1892,143000,176325.6276
2929,270000,254120.1032
1776,192500,167623.449
2363,197500,211659.4733
1262,129000,129063.7958
1606,119900,154870.2563
1428,133900,141516.9134
2530,172000,224187.6097
1925,127500,178801.2474
2442,145000,217585.957
1514,124000,147968.5285
1474,132000,144967.7773
2036,185000,187128.332
2020,155000,185928.0315
1554,116500,150969.2797
3768,272000,317060.8601
2104,155000,192229.6091
1800,239000,169423.8998
2518,214900,223287.3843
1484,178900,145717.9651
1736,160000,164622.6978
2000,135000,184427.6559
968,37900,107008.2743
1608,140000,155020.2939
1192,135000,123812.4811
2193,173000,198906.2806
918,99500,103257.3352
1428,182000,141516.9134
2019,167500,185853.0127
2023,165000,186153.0879
869,85500,99581.41497
2347,199900,210459.1728
1446,110000,142867.2514
1772,139000,167323.3739
1866,178400,174375.1393
3466,336000,294405.1884
1266,159895,129363.8709
2290,255900,206183.1023
1734,126000,164472.6603
2204,125000,199731.4872
1635,117000,157045.801
3586,395192,303407.4421
2186,195000,198381.1491
1576,197000,152619.6929
3466,348000,294405.1884
1958,168000,181276.8671
2387,187000,213459.924
1500,173900,146918.2656
2890,337500,251194.3707
1614,121600,155470.4066
1965,136500,181801.9986
1442,185000,142567.1763
1077,91000,115185.3213
1894,206000,176475.6652
944,82000,105207.8235
691,86000,86228.07201
1598,232000,154270.1061
1680,136905,160421.6461
1520,181000,148418.6412
1580,149900,152919.768
2894,163500,251494.4458
1365,88000,136790.7302
1710,240000,162672.2095
1008,102000,110009.0255
1271,135000,129738.9648
1664,100000,159221.3456
1502,165000,147068.3031
1269,85000,129588.9272
1418,119200,140766.7256
2308,227000,207533.4404
2194,203000,198981.2994
2396,187500,214135.0931
1472,160000,144817.7397
1522,213490,148568.6787
2156,176000,196130.5857
1904,194000,177225.853
1572,87000,152319.6178
1520,191000,148418.6412
4063,287000,339191.4004
1020,112500,110909.2508
1961,167500,181501.9235
3159,293077,271374.4227
1744,105000,165222.8481
1535,118000,149543.9229
1928,160000,179026.3037
3208,197000,275050.343
3532,310000,299356.4279
2640,230000,232439.6755
954,119750,105958.0113
845,84000,97780.96423
2642,315500,232589.7131
2263,287000,204157.5952
1344,97000,135215.3358
1139,80000,119836.4857
1971,155000,182252.1113
2032,173000,186828.2569
2206,196000,199881.5247
3414,262280,290504.2118
3628,278000,306558.2309
1733,139600,164397.6415
3108,556581,267548.4649
1676,145000,160121.571
1771,115000,167248.3551
930,84900,104157.5606
1302,176485,132064.547
1316,200141,133114.8099
2419,165000,215860.525
1909,144500,177600.9469
2921,255000,253519.9529
2167,180000,196955.7923
2023,185850,186153.0879
2445,248000,217811.0133
3120,335000,268448.6903
2288,220000,206033.0647
1954,213500,180976.792
894,81000,101456.8845
2337,90000,209708.985
1500,110500,146918.2656
1894,154000,176475.6652
3461,328000,294030.0945
1571,178000,152244.599
2285,167900,205808.0084
3358,151400,286303.1601
1113,135000,117885.9975
1634,135000,156970.7822
1854,154000,173474.9139
1456,91500,143617.4392
1961,159500,181501.9235
1240,194000,127413.3826
2150,219500,195680.473
2092,170000,191329.3837
1171,138800,122237.0867
1510,155900,147668.4534
1485,126000,145792.9839
1914,145000,177976.0408
1864,133000,174225.1017
1459,192000,143842.4956
1804,160000,169723.9749
2090,187500,191179.3462
1743,147000,165147.8293
1426,83500,141366.8758
1953,252000,180901.7732
1709,137500,162597.1907
2286,197000,205883.0272
1040,92900,112409.6265
1762,160000,166573.1861
2117,136500,193204.8533
1861,146000,174000.0454
1184,129000,123212.3309
1338,176432,134765.2231
1355,127000,136040.5424
1088,170000,116010.5279
1996,128000,184127.5808
2305,157000,207308.384
728,60000,89003.76689
1362,119500,136565.6738
1722,135000,163572.4349
1849,159500,173099.82
1302,106000,132064.547
3654,325000,308508.7191
2180,179900,197931.0364
2021,274725,186003.0503
1690,181000,161171.8339
2875,280000,250069.089
1877,188000,175200.3459
2367,205000,211959.5484
1524,129900,148718.7163
1651,134500,158246.1015
1248,117000,128013.5328
2738,318000,239791.5161
1772,184100,167323.3739
1596,130000,154120.0685
1601,140000,154495.1624
1409,133700,140091.5565
1012,118400,110309.1006
1576,212900,152619.6929
960,112000,106408.124
698,118000,86753.20347
1482,163900,145567.9275
1005,115000,109783.9691
1555,174000,151044.2985
2830,259000,246693.2439
1959,215000,181351.8859
1872,140000,174825.252
2603,135000,229663.9807
1186,93500,123362.3684
2210,117500,200181.5999
2604,239500,229738.9994
1600,169000,154420.1436
986,102000,108358.6123
1532,119000,149318.8666
1020,94000,110909.2508
3134,196000,269498.9532
1812,144000,170324.1251
1804,139000,169723.9749
2249,197500,203107.3323
3978,424870,332814.8041
1294,80000,131464.3968
1272,80000,129813.9836
1576,149000,152619.6929
2556,180000,226138.098
1839,174500,172349.6322
1111,116900,117735.9599
2106,143000,192379.6467
932,124000,104307.5981
1642,149900,157570.9324
2107,230000,192454.6654
1354,120500,135965.5236
2274,201800,204982.8018
2594,218000,228988.8116
1898,179900,176775.7403
2218,230000,200781.7501
1580,235128,152919.768
2318,185000,208283.6282
1767,146000,166948.28
2368,224000,212034.5672
1386,129000,138366.1246
2456,108959,218636.2199
2112,194000,192829.7593
1502,233170,147068.3031
1694,245350,161471.909
2457,173000,218711.2387
2734,235000,239491.4409
5014,625000,410534.2609
1640,171000,157420.8949
1923,163000,178651.2098
1250,171900,128163.5704
2759,200500,241366.9104
2848,239000,248043.5819
3572,285000,302357.1791
1581,119500,152994.7868
